timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1705313074723,612,BunnyCart HomePage HTTP Request,200,OK,BunnyCart 1-1,text,true,,215838,240,1,1,https://www.bunnycart.com/,316,0,121
1705313074723,316,BunnyCart HomePage HTTP Request-0,301,Moved Permanently,BunnyCart 1-1,text,true,,1356,118,1,1,https://bunnycart.com/,316,0,121
1705313075041,294,BunnyCart HomePage HTTP Request-1,200,OK,BunnyCart 1-1,text,true,,214482,122,1,1,https://www.bunnycart.com/,277,0,90
1705313075336,386,Aquatic Plant HTTP Request,200,OK,BunnyCart 1-1,text,true,,305467,270,1,1,https://www.bunnycart.com/aquarium-plants,162,0,0
1705313075336,162,Aquatic Plant HTTP Request-0,301,Moved Permanently,BunnyCart 1-1,text,true,,1365,133,1,1,https://bunnycart.com/aquarium-plants,162,0,0
1705313075499,223,Aquatic Plant HTTP Request-1,200,OK,BunnyCart 1-1,text,true,,304102,137,1,1,https://www.bunnycart.com/aquarium-plants,204,0,0
1705313075723,367,Guppy Grass HTTP Request,200,OK,BunnyCart 1-1,text,true,,166536,292,1,1,https://www.bunnycart.com/aquatic-plants/guppy-grass,189,0,0
1705313075723,189,Guppy Grass HTTP Request-0,301,Moved Permanently,BunnyCart 1-1,text,true,,1378,144,1,1,https://bunnycart.com/aquatic-plants/guppy-grass,189,0,0
1705313075913,177,Guppy Grass HTTP Request-1,200,OK,BunnyCart 1-1,text,true,,165158,148,1,1,https://www.bunnycart.com/aquatic-plants/guppy-grass,173,0,0
1705313079706,606,BunnyCart HomePage HTTP Request,200,OK,BunnyCart 1-2,text,true,,215835,240,1,1,https://www.bunnycart.com/,316,0,64
1705313079706,316,BunnyCart HomePage HTTP Request-0,301,Moved Permanently,BunnyCart 1-2,text,true,,1342,118,1,1,https://bunnycart.com/,316,0,64
1705313080024,288,BunnyCart HomePage HTTP Request-1,200,OK,BunnyCart 1-2,text,true,,214493,122,1,1,https://www.bunnycart.com/,270,0,69
